language,location,messsage
ja,studio GHOST,RT @ogugeo: 2015年にパリのノートルダム大聖堂の詳細な三次元データがレーザースキャンや写真測量を用いて構築されており、修復に活用できるという記事。 https://t.co/pv3QoASLrh データの取得者はベルギー人のゴシック建築の研究者で、昨年49歳の若さで病死した Andrew Tallon 氏。貴重なデータを遺してくれた。 https://t.co/kulYo2eBr2
en,,"RT @CyrusMMcQueen: What no one seems to be mentioning about this Notre Dame fire is, Sarah Sanders is out of a second job... 😏"
en,,RT @NostromoSerg: Nows the time to rebuild Notre Dame Cathedral in a form pleasing to God’s Eyes https://t.co/ucyROer2Py
es,Uruguay,RT @baronjimena: Si ayudaran a que la gente no muera de hambre tan rápido como donan guita para reconstruir Notre Dame...
en,Louisiana,"RT @therealcornett: @realDonaldTrump 🚨BREAKING: No workers present at the time that the Notre Dame Cathedral fire started......So who is this guy dressed in Muslim garb??

#The200 https://t.co/cHYlJCcsQr"
en,Baltimore,"RT @eugenegu: Whereas Flint doesn’t have clean drinking water, Puerto Rico hasn’t fully recovered, and 3 black churches burned to the ground without comment, Trump offers money to rebuild Notre Dame. That’s not America first. That’s white people first, even if they live in far away countries."
zh-TW,,"Great cathedrals burn, collapse and crack. Notre Dame can survive this.
https://t.co/IFslnzHdav"
en,Australia,@sweepster9 @SkyNewsAust @billshortenmp @chriskkenny Not owned by the Catholic Church. Notre Dame is owned by the French State.
en,"Boulder, CO","RT @EdKrassen: The Notre Dame Cathedral Fire is horrific, and it's nice that Trump &amp; Pence took time to tweet their thoughts &amp; prayers to the people of Paris, but why the hell haven't they tweeted a single word about the three black churches that burnt down in America this month?

America 1st?"
en,"Oregon, USA","RT @travisakers: I am devastated by the destruction the fire caused, but Notre Dame will receive an abundance of international assistance.

Flint still doesn't have clean water.

Puerto Rico is still in ruins. https://t.co/QuJyBXNqLl"
es,sevilla,"RT @G2tarquitectos: La estructura de Notre Dame, conocida como ""el bosque"", un patrimonio de ocho siglos que ardió ayer. https://t.co/yKt0lSZml7"
en,"Chula Vista, CA",RT @EmeraldRobinson: Notre Dame fire: The owner of the restoration company - which is very highly regarded - says that absolutely none of his 12 workmen were on site when the fire began. They had already left for the day. https://t.co/9a0B7dzyMB
es,"Madrid, Comunidad de Madrid","RT @elbarroquista: Con más de 24 horas de distancia sobre el terrible incendio que sufrió ayer la catedral de Notre-Dame de París, me gustaría hacer una serie de consideraciones.

HILO https://t.co/G0y4l2qIwQ"
en,"Georgia, USA",RT @kylebeshears: This picture of the cross still standing amid the ruins of Notre Dame is quite the picture of hope. https://t.co/lON2eyDPda
en,New York,RT @WhitneyCummings: This Notre Dame Fire turned into people bragging about their vacations to Paris very quickly
en,Melbourne,RT @RickSteves: Enjoy two minutes of the artistic wonder of Notre-Dame — from the traveler's point of view. https://t.co/6pbpw5UuoI
en,,"RT @j_baylorcook: In the midst of fire and destruction at Notre Dame, the Cross still stands...

That’s beautiful, that’s poetic, that’s God. https://t.co/lSEJIV08WS"
en,Jalisco/Texas & Global,RT @CNNEE: Quizá compartiste este dibujo de Quasimodo. Hablamos con la autora https://t.co/vREhpCbzgR
es,"Bogotá, D.C., Colombia","RT @DjDianamedina: Tu tan catedral de Notre Dame, yo tan catedral de sal de Zipaquira."
en,,"RT @lesleyclovesyou: I sincerely hope that one day we live in a world where people are as quick to donate their money to causes like the flint water crisis, anti-poverty initiatives, etc., as quickly as they were to donate to Notre Dame."
en,"Alabama, USA","RT @EdKrassen: So let me get this straight.  Trump is offering to help France in rehabilitating the Notre Dame Cathedral but he won’t do a single thing for Puerto Rico or Flint Michigan.

That’s not America First!
That’s white people first!"
fr,Saint-Martin,RT @MagazineCapital: Notre-Dame de Paris : l’avantage fiscal dont vous bénéficiez en faisant un don https://t.co/FVawJlMJ6u
en,,"RT @FarLeftWatch: Check out the stealth edit Buzzfeed made after their wildly inaccurate claim about Muslim reactions to the Notre Dame fire was easily refuted.

Perhaps they should change it again to ""There's zero evidence that Buzzfeed employs journalists. "" https://t.co/GbymxTN33e"
fr,derrière impérialites,» Notre-Dame : un Israélien arrêté par la police https://t.co/u3ImyyJhLc
en,,"RT @elbarroquista: Con más de 24 horas de distancia sobre el terrible incendio que sufrió ayer la catedral de Notre-Dame de París, me gustaría hacer una serie de consideraciones.

HILO https://t.co/G0y4l2qIwQ"
en,,"RT @PalmerReport: Donald Trump’s day so far:

- Goes batshit over Notre Dame fire
- NY Times wins Pulitzer for exposing Trump’s financial fraud
- Trump lawyers beg for his tax returns to stay secret
- They can’t stop what’s going to happen to him
- Trump is going to prison
- It’s still only 6:30pm"
en,"Houston, TX","RT @_Hem_B: Since everyone is talking about notre dame, here’s what’s been covered up https://t.co/akjOW8qyot"
en,"Cleveland, OH",RT @Corinnecoco15: Notre-dame de Paris :( https://t.co/rIbOETgzE5
en,"Indiana, USA 🏀","RT @NahBabyNah: SOMEONE IS GOING TO NEED TO EVENTUALLY SAY IT....

THIS IS A METAPHOR FOR ALL OF EUROPE 

TIME FOR ANOTHER CRUSADE?

Cardinal Burke: Notre Dame Fire ‘A Sobering Reflection On The Destructiveness’ Of Our Times https://t.co/OOq3Ndzoma  #NahBabyNah #tcot #feedly"
en,"Forest Hills, MI","RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,Coast Salish Territories,"RT @Jessie_Devine: HOW ABOUT instead of donating to the Notre Dame, you donate to Flint, which still doesn’t have clean water and is not backed by the very rich Catholic Church. https://t.co/Dob60jKHBA"
es,,"RT @berna_leon: Esto acaba de pasar en uno de los puentes, a metros de Notre Dame. https://t.co/DJ5CFgj3qG"
en,Buenos Aires City Region,"@francediplo_ES @GuignardPH @PompiersParis Esta Academia lamenta el siniestro ocurrido ayer,  y desea su pronta reconstrucción de la emblemática Catedral de Notre Dame. Y felicita a los queridos Hermanos Bomberos que pelearon  con todas sus fuerzas contra el fuego  !!!

L Frohnhöfer 

@AcademiaDuque de Caxias de Argentina"
en,OUR AMERICA! 🇺🇸,"RT @KaivanShroff: $400 million to rebuild Notre Dame raised overnight, but 5 years later Flint, Michigan, still doesn’t have clean drinking water."
en,Ph,RT @enerVON98: We always ask the Notre Dame to pray for us. Maybe this is now our time to pray for the Notre Dame. 🙏
es,A veces en Puntogamer,"RT @tenebrisimo_: Conocemos todos la catedral de Notre Dame, pero anoche también ardió la mezquita Al-Aqsa de Jerusalén, del siglo VIII. https://t.co/cuQmGcPN2v"
es,A veces en Puntogamer,"RT @tenebrisimo_: Conocemos todos la catedral de Notre Dame, pero anoche también ardió la mezquita Al-Aqsa de Jerusalén, del siglo VIII. https://t.co/cuQmGcPN2v"
en,"cuyahoha falls, oh","RT @BrianQuinn36: Shocking that the Notre Dame Cathedral would be engulfed in flames right at the start of the #HolyWeek. Given the recent attacks on #Catholic churches I can't help to be skeptical about the notion of a construction crew causing this catastrophic fire.
https://t.co/HF5Kjm3ywI"
pt,,"RT @filipemoraisz: Sabem que comparar a catedral de Notre Dame com Moçambique ou a África em geral é a pior comparação que podem fazer, certo? Ridículo."
en,Chi City,RT @Naru_Xut: Me hearing about the Notre Dame cathedral fire while  knowing how destructive French colonization has been to so many peoples cultures around the world. https://t.co/XKZ25HgLWM
es,"Acayucan, Veracruz de Ignacio ","RT @lopezobrador_: Lamento el incendio en la catedral de Notre Dame, en París, Francia. Es una desgracia para el arte, la cultura y la religión."
en,,RT @WhitneyCummings: This Notre Dame Fire turned into people bragging about their vacations to Paris very quickly
fr,,"RT @RTLFrance: Face à ce drame, l'ancienne Première dame américaine a tenu à apporter son soutien https://t.co/8qTuCZ8GIv"
en,,"RT @MrFilmkritik: White House offered France help and money to rebuild the Notre Dame Cathedral.

Flint is still without clean water.
Puerto Rico still lacks aid.
Three churches were burnt down in Louisiana in what is now being charged as a hate crime. Maybe focus on that, Donnie."
en,,RT @nedryun: Fascinating. The owner of the renovation company that was doing the renovations of Notre Dame says none of his workers were there. https://t.co/ji1iuI2ImK
es,,RT @WhitneyCummings: This Notre Dame Fire turned into people bragging about their vacations to Paris very quickly
es,"Maracaibo, Venezuela","RT @mariaoropeza94: Tal parece que ell 15 abril ha sido una fecha de muchas tragedias en el mundo lo largo de la historia: 

15 de abril de 1912 se hunde El Titanic.

15 de abril de 2019 se incendia la Catedral de Notre Dame en París.

15 de abril de 1963 nace Diosdado Cabello."
en,Fuerteventura,"RT @paulocoelho: Associe-toi à ceux qui laissent l'Amour se manifester sans restrictions, 
sans jugements, 
sans récompenses, 
sans qu'elle soit jamais bloquée par la peur d'être incomprise

#Notre_dame_de_Paris"
en,ig: a.pedrozza,"RT @jeferson: Dois dias após o incêndio do Museu Nacional, Bolsonaro debochou e disse “já pegou fogo, quer que faça o quê?”. Duas horas após a tragédia de Notre-Dame, ele manifesta “profundo pesar” ao povo francês. Nunca houve Presidente tão vira-lata q desprezasse tanto nossa própria história"
pt,"São Paulo, Brasil","RT @rosestoariley: os incêndios em notre dame e no museu nacional são de partir o coração, é literalmente a história indo embora https://t.co/f4WRw8qW9a"
ja,都内某所,"RT @atmsphrca: ノートルダム大聖堂の復旧にアサシンクリードのデータが役立つかも、とニュースに出てる。ゲーム、精緻な3Dデータが現実を救う例になりそう Silver lining: Late art historian's work, 'Assassin's Creed' video game could help rebuild Notre Dame https://t.co/H5IjIOZtVf"
en,"Kansas City, MO","RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,,"RT @AskYourHusband: While the secular world focuses on the sensational aspects of #Notre Dame we Catholics know what her true treasure was....

God bless the honorable soul that rescued our Lord’s Body from the fires. Our immense gratitude to you, whomever you are."
en,Chicago,"RT @EdKrassen: So let me get this straight.  Trump is offering to help France in rehabilitating the Notre Dame Cathedral but he won’t do a single thing for Puerto Rico or Flint Michigan.

That’s not America First!
That’s white people first!"
en,"Pennsylvania, USA",RT @washingtonpost: Analysis: Trump and Pence tweeted about Notre Dame fire but said nothing when 3 black churches burned https://t.co/YH863rMfYw
en,,RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
en,Saturn,RT @ladybaguettee: @brookeawindsor My last photos of our beautiful Notre Dame 🤧 mon cœur est brisé https://t.co/r0xAEDBRXg
en,she/they - 17 - fr/eng,"RT @highentiatomb: notre dame will likely be restored but the al-aqsa mosque, the third holiest site in islam, also caught on fire today. there was minimal damage and no lives lost but it'll probably need some repairs! if you're able to help their fundraising pages are here:
https://t.co/p6uTPuLLVJ"
es,"Lima, Peru","‼️La catedral Notre Dame de París, con su arquitectura gótica, contenía mucha simbología filosófica y esotérica❗

#NotreDame https://t.co/eIumcVymOW"
en,"Dallas, TX","“America first!”
“Awesome let’s work on our infrastructure, then healthca-“
“AYE YALL HEAR ABOUT NOTRE DAME?” https://t.co/Z8x9NyF6i8"
de,,"RT @Hoellenaufsicht: Für den Wiederaufbau von Notre-Dame  kann man natürlich spenden. Man kann aber auch darüber nachdenken, dass allein die deutschen Bistümer über rund 21 Milliarden Euro Vermögen verfügen. Tschüss."
en,"Bulacan, Central Luzon",RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
es,Chile y EEUU,"RT @pazgonzalezm: La familia Bettencourt, dueña de L´Oréal, donará 200 millones de euros para la reconstrucción de Notre Dame. En total, empresarios y millonarios franceses han comprometido 601 millones de euros a menos de 24 horas del incendio. @CNNChile"
es,,"RT @BellaBiondaMia: No caigas en ese lugar común de postear tu foto en Notre Dame. Estoy hace un rato tratando de entender porqué me genera desagrado ver hacer eso. Lo obvio, lo común, lo cínico, el oportunismo, lo hipócrita. No sé. Algo me pasa cuando miro todo el circo..."
pt,"Campo Grande, São Paulo","A coroa de espinhos de Jesus Cristo e a Catedral de Notre Dame - Paris Sempre Paris https://t.co/1hfQcEDLGS
A Coroa de espinhos de Nosso Senhor Jesus Cristo e sua trajetória histórica! Impressionante!"
es,,"RT @herlombardi: La cúpula del CCK lleva los colores de la bandera de Francia a fin de acompañar al pueblo francés, testigo de tan dolorosa situación que vive la Catedral de Notre Dame, símbolo de la historia y la cultura europea. https://t.co/zpcJYTKE9S"
en,buenos aires,"RT @CatalinaBermejo: Gente que PISO notre dame poniendo la fotito de que si te sentís triste por París te chupan un huevo los nenes q no comen. Cabezas de termo, no entienden una pija de arquitectura ni historia... Se quemo un patrimonio de la humanidad Y QUERÉS SER EL CENTRO DE ATENCIÓN. ridículos."
en,"Pennsylvania, USA","RT @PrisonPlanet: The Vice-President of the French student union at the University of Lille reacted to the Notre Dame fire by tweeting, “I swear to Allah we don’t give a rat’s ass.” https://t.co/y9k78s0JIF"
pt,Vale Figueira City 2695,"RT @Niltoncomedy: ""Notre-Dame: duas das famílias mais ricas do mundo doam 300 milhões de euros para reconstrução"".
Olha o azar de Moçambique em não ter uma catedral."
en,,"RT @QasimRashid: Black church burns
•Beck: ¯\_(ツ)_/¯

2nd Black church burns
•Beck: ¯\_(ツ)_/¯

3rd Black church burns
•Beck: ¯\_(ツ)_/¯

Culprit is white supremacist
•Beck: ¯\_(ツ)_/¯

Notre Dame Burns due to human error
•Beck: How can I blame Muslims for this??

🤔
https://t.co/VvEGKOpvd5"
en,"NYC, LONDON","RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
th,"Chiang Mai, Thailand",RT @iamruj: ในสถาปัตยกรรมที่สวยงามของยุคกลาง (Middle age) มีหลายๆสถานที่เกิดขึ้นมากมายไม่ว่าจะเป็น ปราสาท โบสถ์ เป็นต้น ทั้งนี้เพราะในสมัยนั้น ศาสนามีอำนาจมากในการชักจูงใจศิลปินให้ออกแบบสถาปัตยกรรมเหล่านั้นให้ออกมาในรู้แบบที่สวยงามและ โบสถ์ Notre-Dame ก็เป็นหนึ่งในนั้น...(1) https://t.co/MJc3cecQBO
en,USA,"RT @PrisonPlanet: BuzzFeed lobbies for Big Tech to deplatform people for ""misinformation"".

Then engages in blatant misinformation by crafting an outright hoax that no one celebrated the Notre Dame fire. They did.

Under its own rules, BuzzFeed should be deplatformed.

https://t.co/nx9QheuRKN"
en,,"RT @benshapiro: This, from @chick_in_kiev, in The Washington Post, is the sheerest form of disgusting bulls***. I blamed no one for the Notre Dame fire, since it was an accident by all available evidence, and imputing malicious intent to me is simply gross. https://t.co/e5gvQqQc2G https://t.co/T98E2JWJXe"
en,"San Antonio, TX","RT @j_baylorcook: In the midst of fire and destruction at Notre Dame, the Cross still stands...

That’s beautiful, that’s poetic, that’s God. https://t.co/lSEJIV08WS"
es,Defecto de #ESCORPIO: Celosa,"RT @clarincom: Pese a que se lo había dado por destruido, encontraron el gallo que coronaba la aguja de Notre Dame.  https://t.co/YMAvXq6i33 https://t.co/h8hJo920Lx"
es,"Villa Mercedes, San Luis ",RT @baronjimena: Si ayudaran a que la gente no muera de hambre tan rápido como donan guita para reconstruir Notre Dame...
en,"Detroit, MI","RT @meganromer: My heart is broken over the loss of Notre Dame. 

The Catholic Church is also one of the world’s wealthiest entities. 

If you are going to donate money to rebuild a church this week, I implore you to make it the black churches in St. Landry Parish. 

https://t.co/HBh4n80nT1"
en,somewhere you haven't heard of,"RT @BOTOXLUVR: The Notre Dame cathedral is older than France itself, stop acting like it directly represents all the terrible shit done by the French in the past because it is literally just ancient art and culture"
en,"Massapequa, NY",RT @WhitneyCummings: This Notre Dame Fire turned into people bragging about their vacations to Paris very quickly
en,Republic of the Philippines,"RT @grouchybagels: I know this doesn't help, but we have exquisite 3D laser maps of every detail of Notre Dame, thanks to the incredible work of @Vassar art historian Andrew Tallon. Prof Tallon passed away last November, but his work will be absolutely crucial https://t.co/YJl3XXUZTg"
ja,小田原とか箱根のほう,"RT @atmsphrca: ノートルダム大聖堂の復旧にアサシンクリードのデータが役立つかも、とニュースに出てる。ゲーム、精緻な3Dデータが現実を救う例になりそう Silver lining: Late art historian's work, 'Assassin's Creed' video game could help rebuild Notre Dame https://t.co/H5IjIOZtVf"
en,Watching from the Rockies!,"RT @AndrewPollackFL: Over the last month, 12 Catholic churches have been attacked in France. 

French officials: silent
Church officials: silent
Media: silent
Muslim Immigrants: celebrate
#FixIt https://t.co/aIf6qzH7FW"
en,"Aurangabad, Maharashtra",Jerusalem's Al-Asqa Mosque struck by fire at SAME TIME as Notre Dame https://t.co/4AQ77mbQ7o
ja,,RT @ogugeo: 2015年にパリのノートルダム大聖堂の詳細な三次元データがレーザースキャンや写真測量を用いて構築されており、修復に活用できるという記事。 https://t.co/pv3QoASLrh データの取得者はベルギー人のゴシック建築の研究者で、昨年49歳の若さで病死した Andrew Tallon 氏。貴重なデータを遺してくれた。 https://t.co/kulYo2eBr2
en,,"RT @SaraVanderwegen: Built in 1163. Took 200 years to complete. 
It survived revolutions, plagues and world wars. 
And now, the evening of April 15th 2019, the Notre Dame in Paris burns. 
All history gone. 

The world stands helpless as history disappears before our eyes. 💔  

Im so sorry #NotreDame https://t.co/aHYu5fOJqo"
en,my grandma's kitchen,"RT @SaraVanderwegen: Built in 1163. Took 200 years to complete. 
It survived revolutions, plagues and world wars. 
And now, the evening of April 15th 2019, the Notre Dame in Paris burns. 
All history gone. 

The world stands helpless as history disappears before our eyes. 💔  

Im so sorry #NotreDame https://t.co/aHYu5fOJqo"
fr,Ornicar,RT @PaulokHF: oublie pas que ce qui a brûlé le plus hier soir c'est pas notre dame mais le cul de ta mère
en,New Jersey,RT @Mosquirrina: Se incendia Notre Dame y comienzas a pensar en todos esos lugares que no has visitado porque piensas que siempre estarán ahí. Y por lugares también hablo de personas.
en,,RT @washingtonpost: Analysis: Trump and Pence tweeted about Notre Dame fire but said nothing when 3 black churches burned https://t.co/YH863rMfYw
en,,"RT @meganromer: My heart is broken over the loss of Notre Dame. 

The Catholic Church is also one of the world’s wealthiest entities. 

If you are going to donate money to rebuild a church this week, I implore you to make it the black churches in St. Landry Parish. 

https://t.co/HBh4n80nT1"
en,I block trolls and ad hominem attacks,RT @ElBeardsley: The coq that was on top of Notre Dame’s spire was found in the rubble inside! Everyone thot it had burned. https://t.co/fyX715PgCb
en,Upstate,"Notre Dame was, is now, and will continue to be a beautiful cultural landmark. And I think that its having been on fire only adds to its significance. The things we lost were never promised to us. They will continue in our photos and hearts. And I think that’s kind of sweet."
es,,"RT @tenebrisimo_: Conocemos todos la catedral de Notre Dame, pero anoche también ardió la mezquita Al-Aqsa de Jerusalén, del siglo VIII. https://t.co/cuQmGcPN2v"
en,,"RT @meganromer: My heart is broken over the loss of Notre Dame. 

The Catholic Church is also one of the world’s wealthiest entities. 

If you are going to donate money to rebuild a church this week, I implore you to make it the black churches in St. Landry Parish. 

https://t.co/HBh4n80nT1"
en,"Pleasant Hill, CA",RT @Medievalists: A priest from Notre Dame Cathedral reports that all the art work and the holy relics contained in the cathedral has been saved.
en,Philly.,"RT @SaraVanderwegen: Built in 1163. Took 200 years to complete. 
It survived revolutions, plagues and world wars. 
And now, the evening of April 15th 2019, the Notre Dame in Paris burns. 
All history gone. 

The world stands helpless as history disappears before our eyes. 💔  

Im so sorry #NotreDame https://t.co/aHYu5fOJqo"
es,,"RT @incunabula: Further confirmation just in from @LeHuffPost that all three of the Rosaces have been saved.
https://t.co/28KSQ0uJSt"
es,L-1485,"You know al these people comparing 2 events completely different like Notre Dame and Siria,  are so disgusting.

Maybe they were saying like all the people «pray for Paris» and all that stuff 4 years ago too 🙄"
en,,"RT @meganromer: My heart is broken over the loss of Notre Dame. 

The Catholic Church is also one of the world’s wealthiest entities. 

If you are going to donate money to rebuild a church this week, I implore you to make it the black churches in St. Landry Parish. 

https://t.co/HBh4n80nT1"
es,"Almirante Brown, Argentina","RT @santidepresivos: El verdadero ateísmo es mirar Notre Dame y ver el trabajo de la historia y la cultura humanas, es ver que la religión siempre se trató de lo humano. Si te alegrás porque pensás que es la casa de un señor mágico con barba, entonces tan ateo no sos."
en,"New York, NY","RT @UNODCBolivia: Guterres, “horrorizado” ante el incendio en la catedral de Notre Dame en París https://t.co/bwFuENhE2U"
en,Sydney Australia,"RT @redstarcycles: @noplaceforsheep as precious as Notre Dame is, it was built and can be rebuilt.  We can't rebuild the barrier reef."
en,Here I Am,"After The Fire. 
Notre Dame Cathedral https://t.co/jWx8Ugv6zz"
en,Here I Am,"After The Fire. 
Notre Dame Cathedral https://t.co/jWx8Ugv6zz"
es,Ciudad de México,RT @TorosenelMundo_: Bonnes nouvelles: Notre Dame cinco años de reconstrucción: https://t.co/MKtzRpjjCI @TorosenelMundo_… https://t.co/1dAmrLD1AC
es,,RT @Martinminguchi: Este hilo es impresionante.  Los robles para reemplazar a las vigas de Notre Dame en caso de desastre ya fueron plantados hace muchísimos años en Versallles.  Ahí están espernado ser cosechados. https://t.co/KLIMx9M6IQ
es,sc: carlitos.ro,"RT @raulsdargoltz: Siria fue bombardeado y se destrozaron patrimonios de la humanidad como el Teatro de Palmira, estos monumentos son muchos más antiguos que varios de occidente. Pero como no es primer mundo no tuvo la repercusión necesaria  como hoy con Notre Dame https://t.co/QkrfD7Tv4G"
th,#Punchintheclub,"RT @sugardaddixx: เกิดเหตุไฟไหม้วิหาร Notre Dame ในประเทศฝรั่งเศส สาเหตุคาดว่าเกิดจากการรีโนเวตซ่อมอาคาร 
โดยวิหารนี้มีอายุ 856 ปี 
มีประวัติศาสตร์อันยาวนาน และถือเป็นสถาปัตยกรรมโกธิคยุคโบราณ อีกทั้งยังเป็นสถานที่แลนมาร์คที่สำคัญแห่งหนึ่งของกรุง Paris อีกด้วย
#NotreDame https://t.co/BfNLr1QTgv"
es,only flowersss,"RT @WasonJackNapier: Ahora todos suben sus fotos cuando estuvieron en Notre Dame, cuando se prenda fuego Cocodrilo vamos a ver a cuántos les dan los huevos...
😂😂😂😂😂😂😂😂😂😂"
en,L.A. 💌 andrea@andreagtrrz.com,RT @ElBeardsley: Inside Notre Dame. They are still stabilizing the cathedral. It will take 48 hours before firefighters can go in and save the large paintings and artworks. ⁦@NPR⁩ https://t.co/zp9IIdkujs
es,Bogotá D.C.,RT @CNNEE: Quizá compartiste este dibujo de Quasimodo. Hablamos con la autora https://t.co/vREhpCbzgR
pt,021🌴,RT @Camila_Cabello: my heart is breaking seeing the fire at notre dame. I’ll never forget walking in the first time in Paris and being in awe of the beauty of it. 💔
en,"Cincinnati, Ohio","RT @mattdpearce: This is crazy. Ilhan Omar wrote a sympathetic tweet about Notre Dame and, in response, got compared to ISIS. 1,800 retweets. https://t.co/LatunToKka"
fr,France,"""The Papers: Tributes to Notre Dame 'inferno heroes'"" https://t.co/B2jPUJINlN"
en,"Chicago, Illinois","RT @DanRather: Pondering a line from Victor Hugo's 1832 novel The Hunchback of Notre Dame: 

“There exists in this era, for thoughts written in stone, a privilege absolutely comparable to our current freedom of the press. It is the freedom of architecture.”"
en,,RT @ladybaguettee: @brookeawindsor My last photos of our beautiful Notre Dame 🤧 mon cœur est brisé https://t.co/r0xAEDBRXg
es,,"RT @ruidocontenido: Cuando dicen que Notre Dame es patrimonio de la humanidad... ¿De qué humanidad hablan? ¿De los hombres blancos, heteros y erguidos que la mandaron hacer y para quienes se hizo? Ningún jorobado ha podido sentir entre estos muros más que el peso de una tradición asesina."
en,,https://t.co/FRwgCZHS4L
es,Colombia,"RT @ColBolivariana: - Cayeron las Torres gemelas 
- Cayó Notre Dame 
- Cayó Sergio Fajardo 
- Cayó Popeye
- Cayó el Chapo
- Cayó Guacho
- Cayó Duque en las encuestas 
- Cayó el agujero negro 

¡Eche! Cae todo el mundo y menos el enano asesino Álvaro Uribe Vélez. A ese hijueputa, quién lo cuida?"
pt,"Conchas, Brasil","RT @jeferson: Dois dias após o incêndio do Museu Nacional, Bolsonaro debochou e disse “já pegou fogo, quer que faça o quê?”. Duas horas após a tragédia de Notre-Dame, ele manifesta “profundo pesar” ao povo francês. Nunca houve Presidente tão vira-lata q desprezasse tanto nossa própria história"
en,California,"RT @voxdotcom: When Victor Hugo wrote The Hunchback of Notre Dame in 1831, the cathedral was almost destroyed. The novel resurrected it. https://t.co/mVfC8hmKoa"
es,,"RT @elbarroquista: Con más de 24 horas de distancia sobre el terrible incendio que sufrió ayer la catedral de Notre-Dame de París, me gustaría hacer una serie de consideraciones.

HILO https://t.co/G0y4l2qIwQ"
es,Bucaramanga,"RT @macabercovich: Profanan una docena de iglesias en Francia en la última semana, y ahora ""se incendia"" la catedral de Notre Dame. Pese a la tragedia, las feministas se burlan.
¡Si supieran cuánto le debemos a la iglesia católica y más precisamente a los valores cristianos que tanto critican!"
en,Melbourne,"RT @BarackObama: Notre Dame is one of the world’s great treasures, and we’re thinking of the people of France in your time of grief. It’s in our nature to mourn when we see history lost – but it’s also in our nature to rebuild for tomorrow, as strong as we can. https://t.co/SpMEvv1BzB"
es,"San Salvador, El Salvador.",Sacerdote salvó Santísimo Sacramento y corona de espinas en incendio de Notre Dame https://t.co/q19LY3gBmA
ja,,"RT @Tyorappe_game: アサシンクリード ユニティの「ノートルダム大聖堂」
ASSASSIN'S CREED Unity「Cathedrale Notre-Dame de Paris」
 #アサシンクリードユニティ #CathedraleNotreDamedeParis https://t.co/gyT7UnX1b0"
en,Heads of liberals,"RT @cher: Worked,Tried To Explain Myself,,Cried About Notre Dame,Worked,Felt Misunderstood,Worked,
Wondered how ppl could condemn me after all I’ve said &amp; Done in life,Worked &amp; Compartmentalized my Emotions,Took Care Of Those In My Care.Remembered Pain will wait 4 U.Choose Joy Now.😥later"
en,United States,RT @EmeraldRobinson: Stories you won't see reported or discussed today: One of three female Muslim terrorists who tried to set fire to Notre Dame in 2016 was sentenced just four days ago on Friday. https://t.co/E7MHtbtb36
en,,"RT @hrtablaze: Liberals are triggered because Glenn Beck said that if the Notre Dame Cathedral was set on fire by the religion of peace, that the Government will hide it and we will never know.  

He's absolutely right , where's the lie ?

 https://t.co/8zzJdGo8uo"
en,,RT @realfabuloso3: bitches that went abroad scrambling to post pics of notre dame to “flex” on us when they heard it was on fire ajshdhdhdhamsjdhdh  https://t.co/Tk2TRq8OYf
es,México DF,RT @hectorguilleng: Notre Dame viendo a todos subiendo fotos lamentando el incendio. https://t.co/xRSYpR2lNV
es,,"RT @raulsdargoltz: Siria fue bombardeado y se destrozaron patrimonios de la humanidad como el Teatro de Palmira, estos monumentos son muchos más antiguos que varios de occidente. Pero como no es primer mundo no tuvo la repercusión necesaria  como hoy con Notre Dame https://t.co/QkrfD7Tv4G"
en,Europa,"RT @chakrabortty: The Notre Dame exposes the paradoxes of austerity politics:
Macron preaches cut for French people, yet swears a national effort to restore a cathedral
Billionaires squeal at paying higher taxes, yet can throw millions at this

We haven't moved far from the rich buying indulgences"
es,,RT @hildesucre: Las mejores caricaturas que he visto sobre Notre Dame. Espero no les amarguen el día. 🤭 https://t.co/6Iv1O7FN75
en-gb,,"RT @egocadavid: Si tenés una foto en Notre Dame ponela, estás en todo tu derecho, disfrutaste visitar un lugar maravilloso y hoy te duele verlo destruido, no le veo el problema a eso."
es,,Cómo ‘Assassin’s Creed’ y un escáner láser ayudarían a reconstruir Notre Dame https://t.co/lrWgq60kO8 https://t.co/o7tJ71zFBU https://t.co/mK7B5lFgx1
